Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias)
Bachert 2016,Low risk,<p>Quote: &quot;A randomized treatment kit number list will be generated centrally by Sanofi. The investigational product (dupilumab or placebo) will be packaged in accordance with this list.</p>                  <p>The Sanofi Clinical Supplies team will provide the randomized treatment kit number list and the Study Biostatistician will provide the randomization scheme to the centralized treatment allocation system. This centralized treatment allocation system will generate the patient randomization list according to which it will allocate the treatments to the patients.&quot;</p>                  <p>Comment: central randomisation using computer software</p>,Low risk,"<p>Quote: &quot;This centralized treatment allocation system will generate the patient randomization list according to which it will allocate the treatments to the patients&quot;. &quot;The Investigator obtains treatment kit numbers at randomization and subsequent scheduled visits via an Interactive Voice Response System/Interactive Web Response System (IVRS/IWRS) that will be available 24 hours a day.&quot; - page 36 protocol </p>                  <p>Comment: central allocation, separate to enrolment of participants</p>",Low risk,"<p>Quote: &quot;Dupilumab and placebo were provided in identical and indistinguishable treatment kits, and study patients, investigators, and site personnel were blinded to study treatment.&quot;</p>                  <p>Comment: double-blind</p>",Low risk,"<p>Quote: &quot;In accordance with the double-blind design, study patients, investigators, and study site personnel will remain blinded to study treatment and will not have access to the randomization (treatment codes).&quot; &quot;Video recordings of endoscopies were sent to an independent reviewer for centralized blinded data assessment.&quot;</p>                  <p>Comment: blinded study</p>",High risk,<p>Quote: &quot;There were 23 patients in the placebo group who completed the 16-week treatment period and 28 in the dupilumab group.&quot;</p>                  <p>Comment: high dropout of 7/30 (23%) in placebo arm versus 2/30 (7%) in intervention arm</p>,Unclear risk,"<p>Comment: all primary and secondary endpoints assessed and reported. Published protocol. Some lack of clarity in protocol regarding choice of measurement tool (original trial record states &quot;patient reported symptoms of sinusitis&quot; will be assessed, but does not state which tools will be used).</p>"
Bachert 2017,Low risk,"<p>Quote: &quot;A randomization schedule was generated before the start of the study by using validated internal software. Patients were randomized with the GlaxoSmithKline IVRS system RAMOS. Site staff called the RAMOS system to register the patient on the system and allocated a randomization number. The randomization schedule used by the RAMOS system was generated by the GlaxoSmithKline study statistician before the start of the study using validated internal software. A center-based randomization schedule was used, with blocking (block size 4).&quot;</p>                  <p>Comment: central randomisation using computer software</p>",Low risk,"<p>Quote: &quot;site staff (except for the unblinded pharmacist), GlaxoSmithKline study staff (except for the independent statistician who analyzed the interim data), and bioanalytical staff (placebo-treated subjects were not assayed for PK concentrations) had no access to the random codes until after completion of the study.&quot;</p>                  <p>Comment: central allocation, separate to enrolment of participants</p>",Low risk,<p>Quote: &quot;The patients and treating doctors were blind to treatment.&quot;</p>                  <p>Comment: double-blind</p>,Low risk,"<p>Quote: &quot;Blinding was strictly maintained until all data had been collected and cleaned and Database Freeze had been declared.&quot;</p>                  <p>Comment: blinded study, outcomes collected prior to unmasking</p>",High risk,"<p>Quote: &quot;[for placebo] 32 (63%) completed treatment phase to Week 25. [for mepolizumab] 42 (78%) completed treatment phase to Week 25.&quot;</p>                  <p>Comment: high dropout (&gt; 20%) in both arms, &gt; 10% difference between the groups. There were high rates of discontinuation, with imbalance between arms (19 (37%) of placebo group and 12 (22%) of mepolizumab population discontinued), which may impact on results.</p>",Low risk,<p>Comment: all primary and secondary endpoints assessed and reported</p>
Gevaert 2011,Unclear risk,"<p>Quote: &quot;Subjects were randomized to receive…&quot;</p>                  <p>Comment: no further details given, therefore unclear how randomisation was performed or by whom.</p>                  <p>Although not statistically significant, more participants in the intervention arm had asthma and/or aspirin intolerance</p>",Unclear risk,<p>Comment: no information provided</p>,Low risk,<p>Quote: &quot;The study was double blind up to 48 weeks&quot;</p>                  <p>Comment: described as double-blind and placebo injection was used</p>,Unclear risk,<p>Comment: no comment on blinding of outcome assessors. Some subjective outcomes (e.g. worsening/improvement in CT scans).</p>,High risk,<p>Quote: &quot;At the end of the study there was a considerable drop out rate in both the mepolizumab and placebo arms.&quot;</p>                  <p>Comment: high dropout (30%) in placebo arm versus 10% in intervention arm by week 8</p>,Unclear risk,"<p>Comment: no published protocol available. Insufficient detail in methods to judge adequacy of reporting. Some outcome measures reported narratively (e.g. symptom scores), with no data to support the description. No online record identified for CRT110178, so could not compare.</p>"
Gevaert 2013,Low risk,<p>Quote: &quot;computer-generated randomization list &quot;</p>,Unclear risk,<p>Quote: &quot;computer-generated randomization list&quot;</p>                  <p>Comment: states &quot;list&quot; with no further information. No details on separation of individuals who recruit to the study and allocate intervention/placebo.</p>,Unclear risk,"<p>Quote: &quot;Both the investigator and the subject were blind to study treatment.&quot;</p>                  <p>Comment: low risk if the investigator is also the care provider, but this is not clear from the publication.</p>",Unclear risk,"<p>Quote: &quot;Polyps were evaluated on each side by means of nasal endoscopy at each visit and graded based on polyp size.&quot;</p>                  <p>Comment: unclear whether assessors were blinded to treatment group. Not stated whether investigator (blinded) was also responsible for outcome measurement. Blinding of assessor is clearly stated for other outcomes (CT scan), but not mentioned for this, the primary outcome for the study.</p>",Low risk,<p>Quote &quot;All patients completed all study visits.&quot;</p>                  <p>Comment: 1 dropout prior to medication being given (omalizumab group). All other participants completed follow-up (although some discontinued medication – ITT analysis).</p>,High risk,<p>Comment: trial registration NCT01393340 had week 20 as the endpoint but publication had 16 weeks as the endpoint.</p>
LIBERTY SINUS 24,Low risk,"<p>Quote: &quot;Patients were randomly assigned centrally with a permuted block randomisation schedule by Interactive Voice Response System or Interactive Web Response System. Randomisations and allocations were done with use of ClinPhone from Parexel (Waltham, MA, USA), which generated the patient randomisation list and treatment assignment.&quot;</p>                  <p>Comment: central randomisation using computer software.</p>",Low risk,"<p>Quote: &quot;Randomisations and allocations were done with use of ClinPhone from Parexel (Waltham, MA, USA), which generated the patient randomisation list and treatment assignment. […]The sponsor provided the randomisation scheme to the centralised treatment allocation system and treatments were allocated to the patients accordingly.&quot;</p>                  <p>Comment: central allocation, separate to enrolment of participants.</p>",Low risk,"<p>Quote: &quot;both patients and investigators were masked to the assigned drug, with active drug or matching placebo used in identical prefilled syringes labelled with a treatment kit number.&quot;</p>                  <p>Comment: double-blind</p>",Low risk,"<p>Quote: &quot;Treatment group information was masked in data transfers from Parexel to the sponsor until database lock. […] Once all data were clean and approved by the site, the database was extracted and locked, and data were transferred to the SAS environment for statistical analysis.&quot;</p>                  <p>Comment: blinded study, outcomes reported prior to randomisation code being broken.</p>",Unclear risk,"<p>Quote: &quot;We did efficacy analyses in the intention-to-treat population, defined as all patients who were randomly assigned; data were analysed according to assigned intervention, whether received or not.[…] 12 (4%) of 276 patients discontinued treatment before week 24, and 13 (5%) patients discontinued from the study; one patient was randomly assigned, but not treated, and the primary reason for discontinuation was occurrence of adverse events.&quot;</p>                  <p>Comment: reasons for dropouts are explicit; &lt; 10% loss, balanced across groups. Trialists used WOCF and multiple imputation methods to include in the analysis participants who discontinued. Although similar numbers of participants discontinued due to adverse effects before week 24, 25/133 (18.8%) placebo group had systemic corticosteroid or surgery before week 24, compared with 10/143 (7%) dupilumab group, resulting in imbalance between the groups in follow-up data.</p>",Unclear risk,"<p>Comment: majority of outcomes are reported in full. Some outcome data are missing from the publication, including the specific number of participants who required surgery (only reported as pooled data with another trial). Some reported outcomes do not appear to have been pre-specified in the original trial registry data (VAS for rhinosinusitis, NPIF).</p>"
LIBERTY SINUS 52,Low risk,"<p>Quote: &quot;Patients were randomly assigned centrally with a permuted block randomisation schedule by Interactive Voice Response System or Interactive Web Response System. Randomisations and allocations were done with use of ClinPhone from Parexel (Waltham, MA, USA), which generated the patient randomisation list and treatment assignment.&quot;</p>                  <p>Comment: central randomisation using computer software.</p>",Low risk,"<p>Quote: &quot;Randomisations and allocations were done with use of ClinPhone from Parexel (Waltham, MA, USA), which generated the patient randomisation list and treatment assignment.[…] The sponsor provided the randomisation scheme to the centralised treatment allocation system and treatments were allocated to the patients accordingly.&quot;</p>                  <p>Comment: central allocation, separate to enrolment of participants</p>",Low risk,"<p>Quote: &quot;both patients and investigators were masked to the assigned drug, with active drug or matching placebo used in identical prefilled syringes labelled with a treatment kit number.&quot;</p>                  <p>For intervention group which switched to four weekly injections: &quot;After Week 24, dupilumab administration was alternated with matched placebo injection every other week up to Week 50.&quot;</p>                  <p>Comment: study stated as double-blind</p>",Low risk,"<p>Quote: &quot;Treatment group information was masked in data transfers from Parexel to the sponsor until database lock. […] Once all data were clean and approved by the site, the database was extracted and locked, and data were transferred to the SAS environment for statistical analysis.&quot;</p>                  <p>Comment: blinded study, outcomes reported prior to randomisation code being broken.</p>",High risk,"<p>Quote: &quot;We did efficacy analyses in the intention-to-treat population, defined as all patients who were randomly assigned; data were analysed according to assigned intervention, whether received or not.[…] 29 (6%) of 448 patients discontinued treatment before week 24, and 49 (11%) patients discontinued from the study; one patient was randomly assigned, but not treated&quot;</p>                  <p>Comment: there were disproportionately more discontinuations in the placebo arm (19/148 (13%) versus 3/145 (2%) and 7/150 (5.6%) for placebo versus dupilumab groups) at week 24. 44/153 (28.8%) of the placebo group had systemic corticosteroids or surgery before week 24, compared with 10/145 (6.9%) and 16/150 (10.6%) for dupilumab groups. 20% dropouts in placebo arm (discontinued treatment before week 52), as compared to 3% and 9% in intervention arms. Trialists used WOCF and multiple imputation methods to include in the analysis participants who discontinued.</p>",Unclear risk,<p>Comment: no outcomes reported for 24- to 52-week follow-up for participants who decreased dupilumab dose to 4-weekly. Some data only reported as pooled analysis with another trial (e.g. number of participants requiring surgery).</p>
NCT01066104,Unclear risk,"<p>Comment: no information given on method of randomisation, just stated to have &quot;randomized&quot; allocation</p>",Unclear risk,<p>Comment: no information provided</p>,Low risk,"<p>Quote: &quot;Placebo of similar volume and frequency, administered by subcutaneous injection.&quot;</p>                  <p>Comment: triple masking included participants and care providers; placebo was matching injection</p>",Low risk,"<p>Comment: triple masking (participant, care provider, investigator); not clear if &quot;investigator&quot; included outcome assessors, but matching placebo used so unlikely that they were aware</p>",Low risk,"<p>Comment: low attrition, similar between groups: 1/13 in omalizumab group and 1/14 in placebo group withdrew due to adverse effects, and one person in placebo group withdrew due to a protocol violation</p>",High risk,"<p>Quote: &quot;Total symptom score (TSS) recorded daily. CRS Facial Pain/Headache questionnaire at each visit.&quot;</p>                  <p>Comment: methods section states that these outcomes will be collected, but there are no data presented on clinical trials register entry. No full publication available.</p>"
Pinto 2010,Unclear risk,<p>Quote: &quot;... randomized to omalizumab or placebo groups&quot;</p>                  <p>Comment: no further details given</p>,Unclear risk,<p>Comment: no details given</p>,Low risk,"<p>Quote: &quot;Subjects were randomized and followed throughout the trial in a blinded fashion.&quot; (main paper); &quot;Masking: Double (Participant, Investigator)&quot; (NCT record)</p>                  <p>Comment: placebo used and trial described as double-blind</p>",Unclear risk,<p>Quote &quot;All CT scan (<i>sic</i>) were read blinded to treatment category.&quot;</p>                  <p>Comment: no comment on blinding for nasal endoscopy outcome. Insufficient information to judge adequacy of blinding for patient reported outcomes.</p>,Unclear risk,"<p>Comment: 0 withdrawals, but 1/7 placebo participant's CT scans could not be analysed for technical reasons. Given the low number of participants, this could introduce bias for the primary outcome.</p>",Unclear risk,"<p>Comment: outcomes mostly match those in NCT trial registration. RSDI (listed on NCT) does not appear to have been reported. Report states that no side effects or adverse events occurred, but no information given on how these were detected.</p>"
POLYP 1,Low risk,"<p>Quote: &quot;patients will be randomized to receive either omalizumab or placebo at approximately a 1:1 ratio using an interactive Web-based response system (IWRS). Randomization will be stratified by comorbid asthma and aspirin sensitivity status at baseline (3 levels: asthmatic and aspirin sensitive, asthmatic not aspirin sensitive, all other) and geographic region (North America, ex-North America).&quot;</p>                  <p>&quot;Permuted block randomization (block size 4) was performed using an interactive web-based response system, within strata defined by comorbid asthma/aspirin sensitivity and geographic region.&quot;</p>                  <p>Comment: central randomisation using web-based software.</p>",Low risk,<p>Quote: &quot;Permuted block randomization (block size 4) was performed using an interactive web-based response system&quot;</p>                  <p>Comment: central allocation.</p>,Low risk,"<p>Quote: &quot;The following individuals/groups will be blinded to treatment assignment throughout the study: patients, the designated evaluating physician(s) and study nurses, the central image readers, and the Sponsor and its agent&quot;</p>                  <p>&quot;Study drug supplies will be shipped blinded to each site.&quot; &quot;Each center will identify an individual (e.g., pharmacist) responsible for the reconstitution procedures. This individual will prepare the study drug for each patient prior to administration. An individual not involved with evaluating the patient must be identified to administer the study drug.&quot;</p>                  <p>Comment: study stated as double-blind. </p>",Low risk,"<p>Quote: &quot;The following individuals/groups will be blinded to treatment assignment throughout the study: patients, the designated evaluating physician(s) and study nurses, the central image readers, and the Sponsor and its agent&quot;; &quot;To minimize risk of potential bias arising from access to laboratory results that could potentially unblind treatment assignments (e.g., free IgE levels), access to these results will be restricted to the site and the sponsor until study completion.”</p>                  <p>Comment: blinded study, outcomes reported prior to randomisation code being broken.</p>",Low risk,<p>Quote: &quot;The full analysis set (FAS) included all randomized patients who received ≥1 dose of study drug according to assigned treatment group. The safety analysis set included all patients who received ≥1 dose of study drug according to treatment received.&quot;</p>                  <p>Comment: dropouts were &lt; 10% and balanced between groups. </p>,Low risk,<p>Comment: prospective trial registration. All key outcomes fully reported. No reason to suspect deviation from planned analysis. </p>
POLYP 2,Low risk,"<p>Quote: &quot;patients will be randomized to receive either omalizumab or placebo at approximately a 1:1 ratio using an interactive Web-based response system (IWRS). Randomization will be stratified by comorbid asthma and aspirin sensitivity status at baseline (3 levels: asthmatic and aspirin sensitive, asthmatic not aspirin sensitive, all other) and geographic region (North America, ex-North America).&quot;</p>                  <p>&quot;Permuted block randomization (block size 4) was performed using an interactive web-based response system, within strata defined by comorbid asthma/aspirin sensitivity and geographic region&quot;</p>                  <p>Comment: central randomisation using web-based software. </p>",Low risk,<p>Quote: &quot;Permuted block randomization (block size 4) was performed using an interactive web-based response system&quot;</p>                  <p>Comment: central allocation.</p>,Low risk,"<p>Quote: &quot;The following individuals/groups will be blinded to treatment assignment throughout the study: patients, the designated evaluating physician(s) and study nurses, the central image readers, and the Sponsor and its agent”</p>                  <p>&quot;The investigator, investigational site staff, central image readers, sponsor and representatives, and patients were blinded to treatment allocation&quot;</p>                  <p>Comment: study stated as double-blind. </p>",Low risk,"<p>Quote: &quot;The following individuals/groups will be blinded to treatment assignment throughout the study: patients, the designated evaluating physician(s) and study nurses, the central image readers, and the Sponsor and its agent&quot;; &quot;To minimize risk of potential bias arising from access to laboratory results that could potentially unblind treatment assignments (e.g., free IgE levels), access to these results will be restricted to the site and the sponsor until study completion.”</p>                  <p>Comment: blinded study, outcomes reported prior to randomisation code being broken.</p>",Low risk,<p>Comment: dropouts &lt; 10% and balanced between groups. </p>,Low risk,"<p>Comment: prospective registration of trial protocol, all outcomes reported according to protocol and statistical analysis plan.</p>"
