Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,All-cause mortality at day 28,Azithromycin compared to placebo or standard of care for inpatients with confirmed moderate to severe COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Azithromycin,Standard of care,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,656,3022,1243,5578,0.977242,0.899333,1.0619,,,0.0,,,1.460162,3,0.691495,0.0,0.543088,,0.587069,0.757562,1,0.384093,0.0,analysis:461149101552774926
1,2,Worsening of clinical status: participants with clinical deterioration (new need for invasive mechanical ventilation) or death at day 28,Azithromycin compared to placebo or standard of care for inpatients with confirmed moderate to severe COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Azithromycin,Standard of care,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,603,2430,1273,4881,0.951462,0.87499,1.034618,,,0.0,,,0.0,0,1.0,0.0,1.163885,,0.244471,0.0,0,1.0,0.0,analysis:461149101553299221
1,3,Improvement of clinical status: participants discharged alive at day 28,Azithromycin compared to placebo or standard of care for inpatients with confirmed moderate to severe COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Azithromycin,Standard of care/placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,1864,2801,3608,5371,0.962731,0.836516,1.10799,,,0.008368,,,3.918134,2,0.14099,48.955293,0.529723,,0.596304,0.197302,1,0.656907,0.0,analysis:461149101553561368
1,4,"Serious adverse events during the study period, defined as number of participants with any event",Azithromycin compared to placebo or standard of care for inpatients with confirmed moderate to severe COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Azithromycin,Standard of care/placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,106,425,79,369,1.11272,0.886012,1.397436,,,0.0,,,0.669466,3,0.880361,0.0,0.918829,,0.358185,0.040477,1,0.84055,0.0,analysis:461149101554085662
1,5,"Adverse events (any grade) during the study period, defined as number of participants with any event",Azithromycin compared to placebo or standard of care for inpatients with confirmed moderate to severe COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Azithromycin,Standard of care/placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,74,184,57,171,1.202182,0.918647,1.573227,,,0.0,,,0.376582,2,0.828374,0.0,1.341694,,0.179695,0.0,0,1.0,0.0,analysis:461149101554347813
1,6,Cardiac arrhythmias during the study period,Azithromycin compared to placebo or standard of care for inpatients with confirmed moderate to severe COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Azithromycin,Standard of care/placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,110,2783,231,5082,0.918422,0.734292,1.148725,,,0.0,,,0.730243,2,0.694112,0.0,0.745424,,0.456016,0.319673,1,0.571805,0.0,analysis:461149101554609962
2,1,All-cause mortality at day 28,Azithromycin compared to placebo or standard of care for outpatients with confirmed asymptomatic or mild COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Azithromycin,Standard of care/placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,1,413,1,463,1.0,0.063719,15.693819,,,0.0,,,0.0,0,1.0,0.0,0.0,,1.0,,,,,analysis:461149101555396402
2,2,Admission to hospital or death within 28 days,Azithromycin compared to placebo or standard of care for outpatients with confirmed asymptomatic or mild COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Azithromycin,Standard of care/placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,26,413,31,463,0.942815,0.571568,1.555196,,,0.0,,,0.369613,2,0.831265,0.0,0.230601,,0.817625,,,,,analysis:461149101555396406
2,3,All initial symptoms resolved (asymptomatic) at day 14,Azithromycin compared to placebo or standard of care for outpatients with confirmed asymptomatic or mild COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Azithromycin,Standard of care/placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,66,69,64,69,1.03125,0.949163,1.120436,,,0.0,,,0.0,0,1.0,0.0,0.727113,,0.467156,,,,,analysis:461149101555658554
2,4,All initial symptoms resolved (asymptomatic) at day 28,Azithromycin compared to placebo or standard of care for outpatients with confirmed asymptomatic or mild COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Azithromycin,Standard of care/placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,165,255,199,294,0.951872,0.786954,1.151352,,,0.01521,,,4.511725,1,0.033663,77.835527,0.508112,,0.611375,,,,,analysis:461149101555920700
2,5,"Serious adverse events during the study period, defined as number of participants with any event",Azithromycin compared to placebo or standard of care for outpatients with confirmed asymptomatic or mild COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Azithromycin,Standard of care/placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,0,227,0,227,,,,,,,,,,,,,,,,,,,,analysis:461149101556182847
