Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,All-cause mortality up to 30 days,Systemic corticosteroids plus standard care versus standard care (plus/minus placebo) for hospitalised individuals with a confirmed or suspected diagnosis of symptomatic COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Corticosteroids plus standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,764,2937,1357,4961,0.903765,0.838346,0.97429,,,0.0,,,6.580114,9,0.680744,0.0,2.639357,,0.008306,,,,,analysis:460564144038693468
1,2,All-cause mortality up to 120 days,Systemic corticosteroids plus standard care versus standard care (plus/minus placebo) for hospitalised individuals with a confirmed or suspected diagnosis of symptomatic COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,corticosteroids plus standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,89,244,97,241,0.735309,0.231227,2.338307,,,0.79706,,,9.34691,2,0.00934,78.602554,0.520896,,0.602439,,,,,analysis:460564144039742055
1,3,Clinical improvement: discharged alive,Systemic corticosteroids plus standard care versus standard care (plus/minus placebo) for hospitalised individuals with a confirmed or suspected diagnosis of symptomatic COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Corticosteroids plus standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,1490,2289,2789,4497,1.071913,1.032739,1.112573,,,,,,10.553578,2,0.005109,81.049081,3.655849,,2.56E-4,,,,,analysis:460564144040266348
1,4,Clinical worsening: new need for IMV or death,Systemic corticosteroids plus standard care versus standard care (plus/minus placebo) for hospitalised individuals with a confirmed or suspected diagnosis of symptomatic COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Corticosteroids plus standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,527,1900,1040,3686,0.923088,0.843953,1.009643,,,,,,7.261855,2,0.026492,72.458829,1.750095,,0.080102,,,,,analysis:460564144040528496
1,5,Serious adverse events,Systemic corticosteroids plus standard care versus standard care (plus/minus placebo) for hospitalised individuals with a confirmed or suspected diagnosis of symptomatic COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Corticosteroids plus standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:460564144040790644
1,6,Adverse events,Systemic corticosteroids plus standard care versus standard care (plus/minus placebo) for hospitalised individuals with a confirmed or suspected diagnosis of symptomatic COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Corticosteroids plus standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:460564144041052792
1,7,Hospital-acquired infections,Systemic corticosteroids plus standard care versus standard care (plus/minus placebo) for hospitalised individuals with a confirmed or suspected diagnosis of symptomatic COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Corticosteroids plus standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:460564144041314940
1,8,Invasive fungal infections,Systemic corticosteroids plus standard care versus standard care (plus/minus placebo) for hospitalised individuals with a confirmed or suspected diagnosis of symptomatic COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Corticosteroids plus standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:460564144041577089
1,9,Quality of life up to 120 days,Systemic corticosteroids plus standard care versus standard care (plus/minus placebo) for hospitalised individuals with a confirmed or suspected diagnosis of symptomatic COVID-19,Custom input,"#N/A",Continuous,false,,,,,,,Corticosteroids plus standard care,Standard care (plus/minus placebo),IV,Mean Difference,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:460564144041577091
1,10,New need for dialysis,Systemic corticosteroids plus standard care versus standard care (plus/minus placebo) for hospitalised individuals with a confirmed or suspected diagnosis of symptomatic COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Corticosteroids plus standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:460564144041839237
