Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,All-cause mortality at up to day 28,Remdesivir and standard care versus standard care (plus/minus placebo) in moderate to severe COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Remdesivir and standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,369,3635,380,3507,0.927404,0.809627,1.062313,,,0.0,,,2.62707,3,0.452764,0.0,1.087623,,0.276762,,,,,analysis:460564098261796196
1,2,All-cause mortality at up to day 60,Remdesivir and standard care versus standard care (plus/minus placebo) in moderate to severe COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Remdesivir and standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,127,634,152,647,0.852659,0.692103,1.05046,,,0.0,,,0.0,0,1.0,0.0,1.49748,,0.134268,,,,,analysis:460564098262320489
1,3,In-hospital mortality at up to day 150,Remdesivir and standard care versus standard care (plus/minus placebo) in moderate to severe COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Remdesivir and standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,602,4146,643,4129,0.932398,0.841593,1.032999,,,0.0,,,0.0,0,1.0,0.0,1.338928,,0.180594,,,,,analysis:460564098262582635
1,4,All-cause mortality (time-to-event),Remdesivir and standard care versus standard care (plus/minus placebo) in moderate to severe COVID-19,Custom input,"#N/A",Contrast level,true,,,,,,,Remdesivir and standard care,Standard care (plus/minus placebo),IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,3284,,3229,0.880423,0.66694,1.162241,,,0.024776,,,2.332694,1,0.126683,57.131114,0.898829,,0.368744,,,,,analysis:460564098262582637
1,5,Clinical improvement: alive and ready to discharge,Remdesivir and standard care versus standard care (plus/minus placebo) in moderate to severe COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Remdesivir and standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,892,1298,750,1216,1.110037,1.05637,1.16643,,,0.0,,,1.958149,3,0.581139,0.0,4.128915,,3.6E-5,,,,,analysis:460564098263106928
1,6,Clinical improvement: alive and ready to discharge (time-to-event),Remdesivir and standard care versus standard care (plus/minus placebo) in moderate to severe COVID-19,Custom input,"#N/A",Contrast level,true,,,,,,,Remdesivir and standard care,Standard care (plus/minus placebo),IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,607,,618,1.058497,0.932349,1.201714,,,0.0,,,0.309307,1,0.578106,0.0,0.87806,,0.379911,,,,,analysis:460564098263369077
1,7,Clinical worsening: new need for invasive mechanical ventilation or death,Remdesivir and standard care versus standard care (plus/minus placebo) in moderate to severe COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Remdesivir and standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,60,339,87,344,0.699827,0.522237,0.937808,,,0.0,,,0.0,0,1.0,0.0,2.389907,,0.016853,,,,,analysis:460564098263369080
1,8,Clinical worsening: new need for invasive mechanical ventilation or death (time-to-event),Remdesivir and standard care versus standard care (plus/minus placebo) in moderate to severe COVID-19,Custom input,"#N/A",Contrast level,true,,,,,,,Remdesivir plus standard care,Standard care (plus/minus placebo),IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,872,,862,0.666206,0.543804,0.816158,,,0.0,,,0.004953,1,0.943891,0.0,3.921254,,8.8E-5,,,,,analysis:460564098264417658
1,9,"Adverse events, any grade",Remdesivir and standard care versus standard care (plus/minus placebo) in moderate to severe COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Remdesivir and standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,761,1286,702,1212,1.040522,0.916598,1.1812,,,0.010939,,,9.408851,3,0.024321,68.11513,0.613953,,0.539247,,,,,analysis:460564098264679805
1,10,"Adverse events, grade 3 to 4",Remdesivir and standard care versus standard care (plus/minus placebo) in moderate to severe COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Remdesivir and standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,438,1286,460,1212,0.920385,0.836763,1.012363,,,0.0,,,2.568266,3,0.46308,0.0,1.707129,,0.087798,,,,,analysis:460564098265204098
1,11,Serious adverse events,Remdesivir and standard care versus standard care (plus/minus placebo) in moderate to severe COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Remdesivir and standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,303,1286,331,1212,0.836333,0.650837,1.074697,,,0.0338,,,7.370274,3,0.060987,59.295951,1.396919,,0.162438,,,,,analysis:460564098265466247
1,12,Ventilator-free days at day 28,Remdesivir and standard care versus standard care (plus/minus placebo) in moderate to severe COVID-19,Custom input,"#N/A",Continuous,false,,,,,,,Remdesivir and standard care,Standard care (plus/minus placebo),IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,634,,647,1.9,0.606963,3.193037,,,0.0,,,0.0,0,1.0,0.0,2.879989,,0.003977,,,,,analysis:460564098265990540
2,1,All-cause mortality at up to day 28,Subgroup analysis (age of participants): remdesivir and standard care versus standard care (plus/minus placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,Remdesivir and standard care,Standard care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,301,2743,303,2708,0.975258,0.840194,1.132034,,,0.0,,,0.099022,2,0.951695,0.0,0.329397,,0.741855,0.098942,2,0.951733,0.0,analysis:460564098265990543
