Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Subgroup estimates,Overall estimates,Test for subgroup differences,Swap event and non-event,Study CI,Estimate CI,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,All-cause mortality at up to day 28,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,2149,9896,2051,9125,0.975266,0.922261,1.031318,1.78E-4,20.124948,20,0.450139,0.620859,0.878391,0.379731,1.183454,2,0.553371,0.0,analysis:417215620459832199
1,2,All-cause mortality at up to day 60,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,25,119,47,153,0.73889,0.488036,1.118685,0.0,0.592181,2,0.74372,0.0,1.429976,0.152724,0.584024,1,0.444739,0.0,analysis:422174752006540906
1,3,All-cause mortality (time to event),Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Contrast level,true,,,,,,,,,IV,Hazard Ratio,,Random effect,true,true,true,false,95%,95%,,8917,,8153,0.976679,0.918199,1.038884,0.0,13.123789,15,0.592737,0.0,0.749058,0.453822,2.047921,2,0.35917,2.339974,analysis:419065779811256910
1,4,All-cause mortality during hospital stay,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,442,1365,389,1191,0.971669,0.871292,1.08361,0.0,2.44832,3,0.484703,0.0,0.516599,0.605436,0.609073,1,0.435137,0.0,analysis:419068584434077837
1,5,Clinical worsening: need for invasive mechanical ventilation or death at up to day 28,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,2210,7528,1995,6949,1.034152,0.96645,1.106598,0.00111,5.739593,5,0.332388,12.885812,0.972108,0.330997,0.364752,2,0.833288,0.0,analysis:429822828157391406
1,6,Clinical improvement: participants discharged from hospital,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,4361,6517,4124,6204,0.998718,0.974616,1.023415,0.0,2.925541,5,0.711464,0.0,0.10296,0.917995,2.290001,2,0.318224,12.663784,analysis:430486132291194978
1,7,"Quality of life, assessed with standardised scales at day 28",Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,320,,163,1.0,-2.143898,4.143898,0.0,0.0,0,1.0,0.0,0.623418,0.53301,,,,,analysis:422174830141968244
1,8,Any grade adverse events,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,330,966,227,843,1.054436,0.950194,1.170113,0.0,2.818488,6,0.831259,0.0,0.998021,0.318269,,,,,analysis:422175631557596727
1,9,Grades 1-2 adverse events,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,52,79,48,81,1.110759,0.873294,1.412796,0.0,0.0,0,1.0,0.0,0.855965,0.392017,,,,,analysis:423486681322484481
1,10,Grades 3 and 4 adverse events,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,362,1409,178,983,1.16523,0.956814,1.419042,0.0124,4.317386,3,0.229169,30.513502,1.520898,0.128285,0.123939,1,0.724802,0.0,analysis:423486666634293959
